acclimatisation, acclimatization
acclimatise, acclimatize
actualisation, actualization
actualise, actualize
advertise, advertize
aggrandise, aggrandize
agonise, agonize
alphabetise, alphabetize
amortisation, amortization
amortise, amortize
amphitheatre, amphitheater
anaesthetise, anaesthetize
analogue, analog
analyse, analyze
antagonise, antagonize
anthologise, anthologize
apologise, apologize
apprise, apprize
arbour, arbor
ardour, ardor
armour, armor
attitudinise, attitudinize
authorisation, authorization
authorise, authorize
baptise, baptize
bastardise, bastardize
behaviour, behavior
belabour, belabor
bowdlerise, bowdlerize
brutalise, brutalize
burglarise, burglarize
calibre, caliber
candour, candor
cannibalise, cannibalize
canonisation, canonization
canonise, canonize
capitalisation, capitalization
capitalise, capitalize
catalogue, catalog
catalyse, catalyze
catechise, catechize
categorisation, categorization
categorise, categorize
cauterise, cauterize
centilitre, centiliter
centimetre, centimeter
centralisation, centralization
centralise, centralize
centre, center
characterisation, characterization
characterise, characterize
circularise, circularize
civilisation, civilization
civilise, civilize
clamour, clamor
clangour, clangor
collectivise, collectivize
colonisation, colonization
colonise, colonize
colour, color
commercialisation, commercialization
commercialise, commercialize
compartmentalise, compartmentalize
computerise, computerize
conceptualisation, conceptualization
conceptualise, conceptualize
criticise, criticize
crystallisation, crystallization
crystallise, crystallize
customise, customize
decentralisation, decentralization
decentralise, decentralize
decolonisation, decolonization
decolonise, decolonize
decriminalisation, decriminalization
decriminalise, decriminalize
defence, defense
dehumanisation, dehumanization
dehumanise, dehumanize
demagnetisation, demagnetization
demagnetise, demagnetize
demagogue, demagog
demeanour, demeanor
demilitarise, demilitarize
demobilisation, demobilization
demobilise, demobilize
democratisation, democratization
democratise, democratize
demoralisation, demoralization
demoralise, demoralize
deodorise, deodorize
deputise, deputize
desensitisation, desensitization
desensitise, desensitize
destabilise, destabilize
dialogue, dialog
digitisation, digitization
digitise, digitize
discolour, discolor
disfavour, disfavor
dishonour, dishonor
disorganisation, disorganization
disorganise, disorganize
dramatisation, dramatization
dramatise, dramatize
economise, economize
editorialise, editorialize
empathise, empathize
emphasise, emphasize
enamour, enamor
endeavour, endeavor
energise, energize
epicentre, epicenter
epilogue, epilog
epitomise, epitomize
equalisation, equalization
equalise, equalize
eulogise, eulogize
evangelise, evangelize
exorcise, exorcize
extemporise, extemporize
factorisation, factorization
factorise, factorize
familiarisation, familiarization
familiarise, familiarize
fantasise, fantasize
favour, favor
fertilisation, fertilization
fertilise, fertilize
fervour, fervor
fibre, fiber
fictionalise, fictionalize
finalise, finalize
flavour, flavor
formalisation, formalization
formalise, formalize
fossilisation, fossilization
fossilise, fossilize
fraternisation, fraternization
fraternise, fraternize
galvanise, galvanize
generalisation, generalization
generalise, generalize
glamorise, glamorize
glamour, glamor
goitre, goiter
harbour, harbor
harmonisation, harmonization
harmonise, harmonize
homogenisation, homogenization
homogenise, homogenize
honour, honor
hospitalisation, hospitalization
hospitalise, hospitalize
humanisation, humanization
humanise, humanize
humour, humor
hybridise, hybridize
hypnotise, hypnotize
hypothesise, hypothesize
idealisation, idealization
idealise, idealize
idolise, idolize
immobilisation, immobilization
immobilise, immobilize
immortalise, immortalize
immunisation, immunization
immunise, immunize
improvise, improvize
individualise, individualize
industrialisation, industrialization
industrialise, industrialize
inflexion, inflection
initialisation, initialization
initialise, initialize
institutionalise, institutionalize
internalise, internalize
internationalise, internationalize
iodise, iodize
ionisation, ionization
ionise, ionize
italicise, italicize
itemisation, itemization
itemise, itemize
jeopardise, jeopardize
kilometre, kilometer
labour, labor
lacklustre, lackluster
legalisation, legalization
legalise, legalize
legitimise, legitimize
liberalisation, liberalization
liberalise, liberalize
licence, license
lionise, lionize
liquidise, liquidize
litre, liter
localisation, localization
localise, localize
louvre, louver
lustre, luster
magnetisation, magnetization
magnetise, magnetize
manoeuvre, manoeuver
materialisation, materialization
materialise, materialize
maximisation, maximization
maximise, maximize
meagre, meager
mechanisation, mechanization
mechanise, mechanize
memorialise, memorialize
memorisation, memorization
memorise, memorize
mercerise, mercerize
mesmerise, mesmerize
metabolise, metabolize
metastasise, metastasize
metre, meter
militarisation, militarization
militarise, militarize
millilitre, milliliter
millimetre, millimeter
miniaturisation, miniaturization
miniaturise, miniaturize
minimisation, minimization
minimise, minimize
misbehaviour, misbehavior
misdemeanour, misdemeanor
mitre, miter
mobilisation, mobilization
mobilise, mobilize
modernisation, modernization
modernise, modernize
moisturise, moisturize
monopolisation, monopolization
monopolise, monopolize
moralise, moralize
mortice, mortise
motorise, motorize
nasalise, nasalize
nationalisation, nationalization
nationalise, nationalize
naturalisation, naturalization
naturalise, naturalize
neighbour, neighbor
neutralisation, neutralization
neutralise, neutralize
nitre, niter
normalisation, normalization
normalise, normalize
notarise, notarize
ochre, ocher
odour, odor
offence, offense
optimisation, optimization
optimise, optimize
organisation, organization
organise, organize
ostracise, ostracize
overemphasise, overemphasize
overspecialise, overspecialize
oxidise, oxidize
paralyse, paralyze
parlour, parlor
particularisation, particularization
particularise, particularize
pasteurisation, pasteurization
pasteurise, pasteurize
patronise, patronize
pauperise, pauperize
pedagogue, pedagog
penalise, penalize
personalise, personalize
philosophise, philosophize
philtre, philter
plagiarise, plagiarize
pluralise, pluralize
polarisation, polarization
polarise, polarize
politicise, politicize
polymerisation, polymerization
popularisation, popularization
popularise, popularize
practice, practise
pressurise, pressurize
pretence, pretense
prioritise, prioritize
prise, prize
privatisation, privatization
privatise, privatize
propagandise, propagandize
proselytise, proselytize
psychoanalyse, psychoanalyze
publicise, publicize
pulverisation, pulverization
pulverise, pulverize
rancour, rancor
randomise, randomize
rationalisation, rationalization
rationalise, rationalize
realisation, realization
realise, realize
recognise, recognize
reconnoitre, reconnoiter
regularise, regularize
reorganisation, reorganization
reorganise, reorganize
reprise, reprize
revitalisation, revitalization
revitalise, revitalize
revolutionise, revolutionize
rhapsodise, rhapsodize
rigour, rigor
romanticise, romanticize
rubberise, rubberize
rumour, rumor
sabre, saber
saltpetre, saltpeter
sanitise, sanitize
satirise, satirize
saviour, savior
savour, savor
scandalise, scandalize
sceptre, scepter
scrutinise, scrutinize
secularisation, secularization
secularise, secularize
sensitisation, sensitization
sensitise, sensitize
sentimentalise, sentimentalize
sepulchre, sepulcher
serialisation, serialization
serialise, serialize
sermonise, sermonize
signalise, signalize
slenderise, slenderize
socialisation, socialization
socialise, socialize
solemnise, solemnize
soliloquise, soliloquize
sombre, somber
specialisation, specialization
specialise, specialize
spectre, specter
splendour, splendor
stabilisation, stabilization
stabilise, stabilize
standardisation, standardization
standardise, standardize
sterilisation, sterilization
sterilise, sterilize
stigmatise, stigmatize
stylise, stylize
subsidisation, subsidization
subsidise, subsidize
succour, succor
summarise, summarize
symbolisation, symbolization
symbolise, symbolize
sympathise, sympathize
synchronisation, synchronization
synchronise, synchronize
synthesise, synthesize
systematise, systematize
tantalise, tantalize
temporise, temporize
tenderise, tenderize
terrorise, terrorize
theatre, theater
theorise, theorize
timbre, timber
tranquillise, tranquillize
traumatise, traumatize
travelogue, travelog
tricolour, tricolor
trivialise, trivialize
tumour, tumor
tyrannise, tyrannize
unionisation, unionization
unionise, unionize
urbanisation, urbanization
urbanise, urbanize
utilisation, utilization
utilise, utilize
valour, valor
vandalise, vandalize
vaporisation, vaporization
vaporise, vaporize
vapour, vapor
verbalise, verbalize
victimisation, victimization
victimise, victimize
vigour, vigor
visualisation, visualization
visualise, visualize
vitalise, vitalize
vocalisation, vocalization
vocalise, vocalize
vulcanisation, vulcanization
vulcanise, vulcanize
vulgarisation, vulgarization
vulgarise, vulgarize
watercolour, watercolor
westernise, westernize
winterise, winterize
womanise, womanize
